CellType,CpdName,IC50,Concentration1,Concentration2,Concentration3,Concentration4,Concentration5,Concentration6,Concentration7,Concentration8,Concentration9
UrinaryTrack,WSF-01-016-01,3.158045,0.5788,0.9533,0.9719,1.0647,1.0439,1.0756,1.0666,1.1511,1.1
Leukemia,WSF-01-016-01,-0.185732,0.1258,0.2328,0.6816,0.9231,1.059,1.0879,1.0195,1.1456,1.1658
Leukemia,WSF-01-016-01,-0.125478,0.0642,0.0686,0.4633,0.9213,1.0665,1.1368,1.181,1.0576,1.2445
Lymphoma,WSF-01-016-01,3.15287,0.7587,1.0674,0.8832,1.0013,1.2361,1.02,1.1683,0.9469,1.3595
Leukemia,WSF-01-016-01,0.632666,0.0952,0.6148,0.7969,0.9961,1.076,1.0185,1.0764,1.0218,1.0427
Lymphoma,WSF-01-016-01,4.48205,0.8739,1.0762,1.1006,1.0877,1.014,1.0425,1.0482,1.0709,1.0447
Lymphoma,WSF-01-016-01,0.951461,0.5082,0.7038,0.9503,1.0089,1.0032,1.0258,1.0497,1.0477,1.0538
Leukemia,WSF-01-016-01,0.962162,0.4925,0.6621,0.8775,1.0733,1.0332,0.9309,0.9956,0.9761,1.0388
Leukemia,WSF-01-016-01,1.195149,0.3114,0.6335,0.7429,0.8399,0.8307,0.813,0.8327,0.812,0.8971
UrinaryTrack,WSF-01-016-01,1.108562,0.5485,0.7524,0.8533,0.9824,0.9976,1.0073,1.0299,0.9823,1.0221
Leukemia,WSF-01-016-01,1.671011,0.6956,0.9,1.1543,1.1924,1.1303,1.1139,1.0597,1.053,1.0652
Lymphoma,WSF-01-016-01,0.278825,0.2696,0.5356,0.8485,0.86,0.911,0.9575,0.9873,0.9674,0.9746
Leukemia,WSF-01-016-01,-0.670912,0.2054,0.2957,0.4877,1.0447,0.8837,0.8934,1.0178,0.9879,0.974
Leukemia,WSF-01-016-01,1.483552,0.585,0.8905,0.8718,1.0764,1.1279,1.1508,1.1769,0.9977,1.071
Leukemia,WSF-01-016-01,-0.650179,0.1031,0.1461,0.4388,0.8749,0.9544,0.9818,1.0518,1.0653,1.0903
Leukemia,WSF-01-016-01,0.338744,0.3521,0.5268,0.8145,1.0558,0.9494,1.1169,1.1311,1.0492,1.0066
UrinaryTrack,WSF-01-016-01,3.272812,0.5628,0.9234,0.9241,0.9568,0.9897,0.97,0.9851,1.0079,0.9518
Leukemia,WSF-01-016-01,-0.936187,0.0744,0.0936,0.2122,0.6452,0.933,1.0283,1.0469,1.092,1.1272
Leukemia,WSF-01-016-01,1.962163,0.6701,0.817,0.8418,0.932,0.9171,1.0428,0.9287,1.0713,1.0818
Leukemia,WSF-01-016-01,-0.458029,0.0609,0.1896,0.5417,0.8586,1.0456,1.0868,1.1177,1.0079,1.1783
Leukemia,WSF-01-016-01,2.769075,0.3388,0.8429,0.9425,1.0794,0.9493,1.1727,0.9812,1.1469,0.9843
Lymphoma,WSF-01-016-01,2.918415,0.0755,0.4473,0.9458,1.0181,1.0586,0.9577,0.9412,1.2706,1.3093
Leukemia,WSF-01-016-01,-0.484524,0.0847,0.2492,0.5102,0.8645,0.9939,1.0011,1.0068,1.0494,1.0344
Leukemia,WSF-01-016-01,1.764003,0.6974,0.7361,0.9032,0.9592,1.014,0.9869,1.0519,1.0354,1.0779
Leukemia,WSF-01-016-01,3.229026,0.2635,0.2837,0.8803,1.1655,1.0411,1.0494,1.0001,1.041,1.0757
UrinaryTrack,WSF-01-016-01,2.076069,0.7452,0.7444,0.8296,0.9405,0.9503,0.968,1.1252,1.0925,1.0245
Lymphoma,WSF-01-016-01,0.154869,0.1151,0.4332,0.7486,0.9415,1.0595,1.0399,1.0513,1.0533,1.0584
Leukemia,WSF-01-016-01,-0.667883,0.087,0.1806,0.4865,1.1093,0.8403,0.9953,1.0186,0.897,1.193
Leukemia,WSF-01-016-01,2.331809,0.7277,0.8248,1.0003,1.0244,0.9294,1.033,0.9361,1.2128,0.9863
Leukemia,WSF-01-016-01,1.085978,0.5701,0.7378,0.9439,0.9665,0.9947,1.0363,1.0323,1.0568,1.019
Leukemia,WSF-01-016-01,0.996011,0.536,0.6355,0.8278,0.961,0.9607,1.0071,0.9511,1.0522,1.0321
Leukemia,WSF-01-016-01,0.699036,0.4313,0.7023,0.8813,1.033,1.0531,1.0786,1.1395,1.0996,1.168
Leukemia,WSF-01-016-01,0.780608,0.5001,0.5848,0.7767,0.9238,0.9617,0.924,0.9411,0.9444,1.2274
Leukemia,WSF-01-016-01,-0.239158,0.1158,0.2882,0.6602,0.9498,1.0344,1.0239,1.0235,1.0543,1.0666
Lymphoma,WSF-01-016-01,1.476965,0.6474,0.8128,0.8969,0.9933,1.0078,1.0259,1.0061,0.9885,1.0297
Leukemia,WSF-01-016-01,0.941818,0.4058,0.6831,0.7359,0.854,0.8284,0.8261,0.7859,0.8192,0.9057
Leukemia,WSF-01-016-01,0.544773,0.4074,0.6122,0.8234,0.9799,0.947,1.0868,1.0005,1.1045,1.0658
Leukemia,WSF-01-016-01,-0.948453,0.2183,0.2174,0.4577,1.1008,1.3602,1.403,1.1532,1.2468,1.1148
Leukemia,WSF-01-016-01,4.684874,0.5905,1.0737,1.1373,1.1012,1.1272,1.1496,1.1385,1.152,1.1505
Lymphoma,WSF-01-016-01,3.233681,0.8251,0.8957,0.9809,0.8819,0.9142,1.0507,0.9633,1.0765,1.0119
Lymphoma,WSF-01-016-01,2.121749,0.0486,0.0503,0.918,0.9979,1.0129,1.052,1.0685,1.0658,1.0438
Lymphoma,WSF-01-016-01,2.192279,0.0938,0.1988,0.8058,1.0589,1.0846,1.0518,1.1807,1.139,1.1695
Lymphoma,WSF-01-016-01,3.505621,0.0862,0.9266,0.9132,0.9523,0.9775,0.9989,1.024,1.01,0.9988
Lymphoma,WSF-01-016-01,3.72794,0.0759,0.0761,0.0771,1.0465,1.1373,1.1516,1.1396,1.0809,1.145
UrinaryTrack,WSF-01-016-01,2.960386,0.8525,0.83,0.9649,0.9978,0.9975,1.0174,1.0041,1.021,0.9963
UrinaryTrack,WSF-01-016-01,1.458256,0.6475,0.7447,0.9067,0.9265,0.9624,1.0102,1.02,1.1349,1.0617
Lymphoma,WSF-01-016-01,-2.726112,0.1589,0.1586,0.1674,0.1601,0.3273,1.3308,1.3884,1.3916,1.3491
Lymphoma,WSF-01-016-01,1.447849,0.0736,0.0737,0.0993,0.8895,0.9426,0.9599,1.085,0.9992,1.1031
Lymphoma,WSF-01-016-01,3.675151,0.0523,0.0539,0.9111,1.1248,1.1399,1.1583,1.1155,1.1565,1.1428
Lymphoma,WSF-01-016-01,1.736543,0.6937,0.8761,0.9356,1.0094,1.0279,1.0424,1.1134,1.0324,1.1095
Lymphoma,WSF-01-016-01,2.956371,0.8607,0.9597,0.9823,0.9818,0.9865,0.996,1.0063,0.984,0.9587
Leukemia,WSF-01-016-01,2.231304,0.7698,0.8084,0.9121,0.9783,1.0162,1.0289,0.9949,1.0208,1.0211
Leukemia,WSF-01-016-01,1.070591,0.5425,0.7013,0.7724,1.0108,0.9501,0.9359,0.9334,0.9701,1.11
Lymphoma,WSF-01-016-01,1.45658,0.3309,0.7806,0.8587,0.9616,0.9728,1.0166,1.0394,1.0105,1.0036
Lymphoma,WSF-01-016-01,2.242144,0.7476,0.8794,0.922,0.8491,0.968,1.0243,1.0329,1.0073,1.0211
Lymphoma,WSF-01-016-01,3.722413,0.6663,0.7002,1.0042,0.9944,0.9901,0.9887,0.9939,1.0349,0.9828
Lymphoma,WSF-01-016-01,0.809509,0.361,0.7078,0.8743,0.9494,0.9821,0.9817,1.003,0.9549,0.98
Lymphoma,WSF-01-016-01,1.51222,0.6591,0.7161,0.9253,1.0551,1.0866,0.9774,0.9016,0.9194,0.9898
Leukemia,WSF-01-016-01,2.765474,0.8275,0.9447,0.9528,1.0118,0.9719,1.0092,1.0124,1.0043,1.0328
Lymphoma,WSF-01-016-01,1.175134,0.1791,0.7165,0.7988,0.9257,0.9161,0.994,1.0388,1.0899,0.9565
Leukemia,WSF-01-016-01,4.513425,1.0447,0.7065,0.9655,0.9839,1.0388,0.9347,1.0584,1.0722,1.0916
Leukemia,WSF-01-016-01,-0.63752,0.3461,0.3529,0.4717,0.6319,0.8673,1.0923,0.9648,0.9978,1.1492
Lymphoma,WSF-01-016-01,3.395831,0.8542,0.9651,1.0776,1.0762,1.0621,1.0839,1.1058,1.0724,1.0608
Lymphoma,WSF-01-016-01,3.079348,0.7446,1.0368,1.0822,1.116,1.1096,1.1612,1.1549,1.1541,1.1637
Leukemia,WSF-01-016-01,0.615384,0.432,0.5747,0.8563,0.9368,1.1922,1.031,1.0582,1.0618,1.2525
Leukemia,WSF-01-016-01,0.158893,0.3103,0.5297,0.6887,0.9603,0.9898,0.8702,1.0276,1.0923,0.9874
Leukemia,WSF-01-016-01,3.03588,0.8078,0.762,0.821,0.9248,0.9475,0.9717,0.9727,0.9235,0.9656
Leukemia,WSF-01-016-01,1.145056,0.5715,0.7591,0.9556,1.0374,1.094,1.0695,1.0673,1.0161,1.1766
Leukemia,WSF-01-016-01,0.996589,0.5653,0.5042,0.9178,0.9418,0.9234,0.9755,0.9843,0.9853,1.0026
Leukemia,WSF-01-016-01,3.022459,0.7846,0.9976,0.9834,1.0545,1.0415,1.0885,1.0337,1.0466,1.0457
Leukemia,WSF-01-016-01,-0.976499,0.0944,0.1363,0.2522,0.7099,0.9437,0.9995,1.0711,1.0556,1.145
Lymphoma,WSF-01-016-01,2.852386,0.8818,0.7318,0.855,0.9416,0.8903,1.0145,0.9767,1.0545,0.9994
Leukemia,WSF-01-016-01,0.102505,0.23,0.473,0.7572,0.8226,0.8876,0.9725,0.9398,0.9322,0.9448
Lymphoma,WSF-01-016-01,3.770366,0.0619,0.4691,0.9548,1.0958,1.0263,1.1505,1.0725,1.1858,1.1375
Leukemia,WSF-01-016-01,4.535391,0.326,0.862,0.93,0.9547,0.8567,0.8605,0.8186,0.8884,0.8299
UrinaryTrack,WSF-01-016-01,5.742414,1.0932,1.1862,1.1484,1.1392,1.1492,0.9891,1.0228,1.1025,1.1031
Bone,WSF-01-016-01,0.931207,0.4333,0.7471,0.7962,0.9189,0.9705,1.03,0.9887,1.0007,1.0161
Bone,WSF-01-016-01,0.974038,0.5303,0.6716,0.8687,1.0287,1.0761,0.8704,1.0484,1.0354,1.0948
Bone,WSF-01-016-01,1.420187,0.5082,0.8242,0.959,1.0982,1.0167,1.0361,0.9841,0.9791,1.0414
Bone,WSF-01-016-01,2.045072,0.7202,0.8614,1.0094,0.9287,0.9444,1.193,0.9898,0.949,0.9887
Bone,WSF-01-016-01,2.254067,0.6175,0.784,0.9015,0.8876,0.8658,0.8311,0.9015,0.8107,0.8375
Bone,WSF-01-016-01,0.660847,0.4678,0.588,0.7815,0.845,0.8481,0.8931,0.9332,0.9109,1.0108
Bone,WSF-01-016-01,2.186921,0.7596,0.8338,0.8613,0.9674,1.0285,1.0695,1.0532,1.0467,1.0687
Bone,WSF-01-016-01,1.213095,0.5903,0.7468,0.8302,0.9349,0.989,0.9643,1.0216,1.0189,1.0799
Leukemia,WSF-01-016-01,2.024246,0.3447,0.784,0.9574,1.1217,0.9743,1.0453,1.0124,1.1172,1.1691
Bone,WSF-01-016-01,0.036738,0.3346,0.54,0.7411,0.8891,0.853,0.9346,0.9697,1.0093,0.9655
Bone,WSF-01-016-01,1.769107,0.546,0.4652,1.0044,0.9451,0.9084,0.9848,1.0569,0.8884,1.0545
Bone,WSF-01-016-01,3.987427,0.6524,0.9822,1.0013,1.0184,0.9848,0.9936,1.0651,1.0111,1.0238
Bone,WSF-01-016-01,2.389134,0.7226,0.895,1.0815,1.1115,1.1417,1.0935,1.0667,1.0001,1.0267
Bone,WSF-01-016-01,1.813423,0.6446,0.8591,0.8771,0.9785,1.0894,1.0872,0.9145,0.9003,0.9636
Bone,WSF-01-016-01,0.039612,0.2446,0.5299,0.6558,0.9178,0.9773,1.1127,0.9929,1.0621,1.1226
Brain,WSF-01-016-01,0.771204,0.4761,0.7321,0.8208,0.9545,0.9575,0.9596,0.9713,1.0066,1.0469
Brain,WSF-01-016-01,4.921469,0.9238,1.0627,0.9585,0.9783,1.0936,1.0369,1.013,1.0874,1.0879
Brain,WSF-01-016-01,4.051698,0.8755,0.9388,1.0204,1.1473,1.1215,0.9655,0.9351,1.1366,1.1682
Brain,WSF-01-016-01,2.064957,0.7468,0.8184,0.8725,1.0427,0.9955,1.0547,1.0677,1.031,1.1381
Brain,WSF-01-016-01,0.587644,0.2704,0.5745,0.7823,0.9541,0.8766,0.878,0.8672,0.883,0.8472
Brain,WSF-01-016-01,3.147147,0.8187,0.8544,0.9239,0.8423,0.9822,0.8494,1.0221,1.05,1.0029
Brain,WSF-01-016-01,2.46193,0.7556,0.8657,0.8484,0.9787,0.9805,1.0069,1.0084,1.0089,1.0804
Brain,WSF-01-016-01,4.99453,0.9469,0.9565,0.9336,0.9718,0.9215,0.8968,0.9842,0.9263,0.9082
Brain,WSF-01-016-01,3.74092,0.8835,0.9521,0.8828,0.9664,0.9682,0.9858,1.0022,0.9884,0.986
Leukemia,WSF-01-016-01,2.323719,0.7757,0.9102,0.9414,1.0514,1.0775,1.0774,1.1003,1.1046,1.0913
Brain,WSF-01-016-01,1.772651,0.6797,0.786,0.9362,1.0067,0.964,0.9354,0.9703,1.0817,1.147
Brain,WSF-01-016-01,4.05079,0.8873,0.9311,1.0046,1.0391,1.0458,1.0801,1.0828,1.0894,1.0804
Brain,WSF-01-016-01,1.793071,0.6236,0.7425,0.8597,0.8592,0.8899,0.8462,0.9125,0.9231,1.0878
Brain,WSF-01-016-01,3.839533,0.8688,0.9507,0.9498,1.0423,1.0083,1.0489,1.0491,1.0328,1.0556
Brain,WSF-01-016-01,2.889256,0.8231,0.909,0.9969,0.9783,0.9346,1.037,1.081,1.1321,1.0664
Brain,WSF-01-016-01,1.617038,0.6378,0.7923,0.897,0.9403,0.9495,0.9408,0.9304,0.9354,1.154
Brain,WSF-01-016-01,3.966301,0.9135,0.8981,0.9447,0.9668,1.0057,1.0221,1.0155,1,1.0087
Brain,WSF-01-016-01,4.751645,0.9271,1.0098,1.0473,1.048,1.0613,1.082,1.074,1.0783,1.0779
Brain,WSF-01-016-01,1.794685,0.2488,0.7443,0.8893,1.1193,0.9398,1.1149,0.7539,0.9916,1.1632
Brain,WSF-01-016-01,1.526396,0.6037,0.7476,0.9149,0.9988,0.9679,0.8484,0.8194,0.8497,0.8466
Leukemia,WSF-01-016-01,0.222161,0.343,0.4917,0.7564,0.9544,0.9738,0.9788,0.9515,0.9411,0.9864
Nervous System,WSF-01-016-01,2.316093,0.7347,0.8242,0.8927,0.9236,0.9855,0.9604,0.9875,0.9816,0.9668
Nervous System,WSF-01-016-01,3.688786,0.4247,1.5571,0.9892,0.9507,1.0484,0.9895,1.1006,0.9969,0.9882
Nervous System,WSF-01-016-01,1.489386,0.614,0.7709,0.84,0.9014,0.9357,0.9959,1.0096,1.008,0.9907
Nervous System,WSF-01-016-01,4.176632,0.1804,0.9135,1.0356,1.0843,0.9872,0.9728,1.0523,0.9931,1.0316
Nervous System,WSF-01-016-01,-0.832611,0.0743,0.0829,0.3251,1.8415,1.0324,1.0732,1.0773,1.0673,1.0043
Nervous System,WSF-01-016-01,3.711857,0.1718,0.576,0.9334,1.1382,1.0423,0.9862,1.0224,0.9144,0.9495
Nervous System,WSF-01-016-01,4.237377,0.3078,0.8985,1.0139,1.0485,1.9804,1.057,0.9864,1.0024,0.9902
Nervous System,WSF-01-016-01,0.989466,0.1475,0.4941,0.8543,0.9173,1.015,1.0568,1.083,0.9987,0.8739
Brain,WSF-01-016-01,1.467879,0.3117,0.7413,0.8086,0.9039,0.9093,1.0514,0.9388,1.0196,1.0792
Brain,WSF-01-016-01,5.253219,0.9729,0.9607,0.9974,1.018,0.9892,0.9959,0.999,1.0349,1.0197
Brain,WSF-01-016-01,2.37655,0.4558,0.8379,0.9452,1.0731,0.961,0.9554,0.9647,1.0414,1.1695
Brain,WSF-01-016-01,1.245304,0.563,0.7623,0.8791,0.9957,0.9081,1.0398,1.0322,1.0378,1.0172
Leukemia,WSF-01-016-01,1.45387,0.6137,0.8393,0.9366,0.9624,1.0859,0.9933,1.1232,1.0319,1.0451
Brain,WSF-01-016-01,1.426777,0.6356,0.8555,0.9722,1.0431,1.0609,1.0532,1.0736,1.0851,1.0311
Nervous System,WSF-01-016-01,1.34722,0.0667,0.1387,0.7673,0.9697,0.9639,0.9508,0.9174,1.0328,1.0597
Nervous System,WSF-01-016-01,-0.987956,0.0867,0.1048,0.3164,1.0644,0.9168,0.9518,0.966,1.0076,0.9882
Brain,WSF-01-016-01,2.881066,0.8062,0.8563,1.1498,0.9125,0.9008,1.0626,1.0808,1.1481,1.063
Nervous System,WSF-01-016-01,1.307086,0.1328,0.7115,0.7047,0.9706,1.0777,0.9349,1.042,1.1709,0.9982
Nervous System,WSF-01-016-01,3.956334,0.4182,0.9087,1.0337,1.0438,1.0294,1.031,1.0995,1.0735,1.0509
Brain,WSF-01-016-01,1.318074,0.3785,0.74,0.9553,0.9615,0.9612,1.0889,1.0245,0.9682,1.2278
Brain,WSF-01-016-01,2.497982,0.743,0.9067,0.9542,0.8634,0.9277,0.9252,1.0472,1.0434,1.0492
Nervous System,WSF-01-016-01,2.495948,0.2066,0.8411,0.943,0.9649,0.9708,0.9797,1.0145,0.9905,1.004
Brain,WSF-01-016-01,2.029329,0.5785,0.905,0.9391,1.0321,0.9824,1.0038,1.0175,1.0138,1.0945
Nervous System,WSF-01-016-01,2.343496,0.7326,0.9313,0.9633,0.9706,0.9696,0.9758,1.0006,0.9944,0.9801
Breast,WSF-01-016-01,0.254281,0.3319,0.5478,0.8134,0.8963,0.955,0.9509,0.9755,1.0639,1.0686
Breast,WSF-01-016-01,1.115334,0.5727,0.6456,0.7397,0.8609,0.9648,0.9759,0.9683,0.975,0.9357
Breast,WSF-01-016-01,4.247521,0.9037,0.8958,1.0417,1.0984,1.1061,1.0706,1.0633,1.0384,1.1041
Breast,WSF-01-016-01,1.448596,0.6123,0.8099,0.9106,1.0345,0.9284,0.9137,1.114,1.0273,1.0824
Breast,WSF-01-016-01,-0.7724,0.2573,0.3417,0.4121,0.6125,0.7918,0.829,0.9587,1.1198,1.0936
Breast,WSF-01-016-01,0.562443,0.4983,0.5595,0.6354,0.8505,0.8633,1.0202,0.9549,0.9924,1.1528
Breast,WSF-01-016-01,1.44778,0.6452,0.7669,0.9643,0.9837,0.9825,1.0123,1.0245,1.1555,1.1
Breast,WSF-01-016-01,1.852585,0.6703,0.8057,0.9025,0.906,1.0493,1.0163,0.9665,1.1151,1.1434
Breast,WSF-01-016-01,0.833699,0.5433,0.6586,0.8864,0.9319,0.9505,1.038,0.9988,1.0119,1.0409
Breast,WSF-01-016-01,2.543815,0.8164,0.7652,0.8758,0.892,0.9789,1.0894,1.0907,1.1389,1.1229
Leukemia,WSF-01-016-01,1.394109,0.6123,0.7566,0.9275,1.0338,0.9435,1.1192,1.0153,1.1191,1.152
Breast,WSF-01-016-01,1.162703,0.5721,0.7261,0.8201,0.9046,0.8932,1.0591,0.8842,0.9709,1.0863
Breast,WSF-01-016-01,1.863657,0.6879,0.8169,0.9179,0.8982,0.9066,0.997,0.9917,1.0253,1.0959
Breast,WSF-01-016-01,0.056506,0.4482,0.4335,0.6029,0.9275,0.8943,1.1066,1.0556,1.1145,0.9016
Breast,WSF-01-016-01,-0.190967,0.2729,0.4459,0.5964,0.7545,0.8726,0.987,0.999,1.0373,1.0553
Breast,WSF-01-016-01,0.953782,0.27,0.2926,0.4686,0.9207,1.0339,0.9686,1.0014,1.0149,1.2065
Breast,WSF-01-016-01,2.083791,0.6998,0.7905,0.8293,0.9136,0.8895,0.8718,0.9332,1.0135,0.995
Breast,WSF-01-016-01,0.926391,0.5264,0.6862,0.9676,1.0394,1.1188,1.0723,1.152,1.1201,1.1191
Breast,WSF-01-016-01,-0.343625,0.1645,0.3026,0.6506,0.9093,1.0461,0.8684,1.0577,1.0952,1.0117
Breast,WSF-01-016-01,-0.264952,0.25,0.4005,0.5023,0.8367,0.9078,1.0182,1.0293,1.051,1.1078
Breast,WSF-01-016-01,-0.07361,0.3891,0.4968,0.5748,0.692,0.884,0.9753,0.9748,0.9797,1.002
Breast,WSF-01-016-01,3.004907,0.7889,0.8391,0.949,0.9651,0.9563,0.9192,0.9043,0.9074,0.9398
Breast,WSF-01-016-01,3.937938,0.872,1.0502,0.9475,0.9906,1.0708,1.0111,1.0849,1.0293,1.0244
Breast,WSF-01-016-01,1.32789,0.6082,0.6929,0.8001,0.8585,0.9695,0.9467,1.0082,1.0667,1.1664
Breast,WSF-01-016-01,0.138835,0.363,0.4459,0.6272,1.094,0.9499,1.1047,1.1042,1.1187,1.2187
Breast,WSF-01-016-01,1.079934,0.5316,0.7312,1.0105,1.0981,1.1094,0.9736,1.0397,1.1086,1.0399
Breast,WSF-01-016-01,1.324617,0.5992,0.8169,0.8408,0.9803,1.1796,0.9901,1.0649,0.9709,1.1667
Breast,WSF-01-016-01,-0.116536,0.2886,0.5206,0.616,0.5891,0.798,0.9457,0.9252,1.0016,0.9977
Breast,WSF-01-016-01,1.527216,0.6003,0.8138,0.9058,0.9072,0.9854,1.1688,1.1308,1.1139,1.1446
Breast,WSF-01-016-01,0.025781,0.3345,0.3522,0.6117,0.979,0.9949,1.1471,1.0135,1.016,1.1012
Breast,WSF-01-016-01,1.010349,0.5402,0.6686,0.705,0.8432,0.8881,1.0032,1.0024,0.9923,1.1476
Breast,WSF-01-016-01,-0.319131,0.4609,0.9479,0.4972,0.4731,0.7687,0.8638,0.993,0.8901,1.0457
Breast,WSF-01-016-01,0.388401,0.3598,0.5858,0.8044,0.9118,0.9372,1.0068,1.0828,0.9792,1.165
Breast,WSF-01-016-01,2.394435,0.7792,0.8744,0.9219,1.0145,1.0318,1.0389,1.0323,1.021,1.036
Breast,WSF-01-016-01,4.952449,0.9687,0.9452,1.1383,0.9771,0.9523,1.0184,1.0504,1.0917,1.2788
Breast,WSF-01-016-01,1.541146,0.6332,0.7866,0.8318,1.0903,1.501,1.1866,1.0978,1.1629,1.0435
Breast,WSF-01-016-01,-0.746596,0.1977,0.2659,0.5916,0.612,0.8499,0.9449,0.9544,1.1516,1.0025
Breast,WSF-01-016-01,1.109651,0.5611,0.6697,0.7899,0.8794,0.998,0.9501,1.0172,0.9326,1.1496
Breast,WSF-01-016-01,4.314047,0.9177,0.918,0.9816,1.0961,1.0014,0.975,0.9749,1.0136,1.0537
Breast,WSF-01-016-01,-1.20739,0.1544,0.2693,0.4596,0.3807,0.6827,0.7687,1.1749,0.9279,1.2741
Leukemia,WSF-01-016-01,4.372142,0.0927,0.6826,0.9797,1.0486,1.0028,1.0211,1.0215,0.9992,1.0075
Breast,WSF-01-016-01,0.812273,0.4601,0.7394,0.903,1.0875,0.9928,1.1347,0.975,1.135,1.0763
Breast,WSF-01-016-01,-0.504559,0.3381,0.4014,0.5241,0.6387,0.8155,0.9134,0.9458,0.9481,1.0758
Breast,WSF-01-016-01,1.671693,0.7044,0.8095,0.9604,1.0256,0.9604,1.0039,0.9547,1.0189,0.9899
Breast,WSF-01-016-01,4.709788,0.9576,0.9262,0.8875,0.9857,0.9339,0.9607,0.9292,0.9946,0.9551
Breast,WSF-01-016-01,1.266527,0.6293,0.6575,0.8514,0.936,1.0547,1.039,0.98,1.0253,1.029
Breast,WSF-01-016-01,1.698405,0.6942,0.707,0.7834,0.9981,0.9353,0.9345,1.003,0.9513,1.1025
Breast,WSF-01-016-01,0.563158,0.4407,0.5361,0.8262,0.957,1.023,1.0357,1.026,1.0036,1.1793
Breast,WSF-01-016-01,1.803501,0.6852,0.734,0.8501,1.0424,0.9785,0.9402,1.0222,0.9877,1.0825
Breast,WSF-01-016-01,1.900146,0.7055,0.8254,0.841,0.9627,0.9943,1.0524,1.0452,1.022,1.0636
Cervix,WSF-01-016-01,2.282599,0.7657,0.8511,0.9126,0.982,1.0079,0.9921,1.0178,0.966,1.0033
Cervix,WSF-01-016-01,1.517665,0.4745,0.8713,0.7668,0.999,0.9228,0.9286,1.0711,0.9897,0.9824
Cervix,WSF-01-016-01,3.526504,0.7958,0.8347,0.8134,0.8402,0.9015,0.9519,0.9712,1.0124,0.9803
Cervix,WSF-01-016-01,1.305659,0.5677,0.7671,0.8033,0.8919,0.9418,0.9317,0.9808,0.9798,0.9889
Cervix,WSF-01-016-01,0.706146,0.413,0.6702,0.8704,0.9174,0.9069,0.9742,0.9616,0.8632,0.9525
Cervix,WSF-01-016-01,3.882913,0.8415,1.0427,0.9986,1.0797,1.0798,0.9672,1.0145,1.212,1.0529
Cervix,WSF-01-016-01,2.665053,0.8022,0.9601,1.0367,0.9992,1.0168,1.0212,0.98,0.9771,1.023
Cervix,WSF-01-016-01,2.207014,0.7403,0.828,0.888,0.9475,0.9546,0.9961,1.1197,1.0757,1.1542
Cervix,WSF-01-016-01,-0.40219,0.2122,0.2988,0.5772,0.7482,0.9465,0.9023,0.9254,1.0827,0.9772
Cervix,WSF-01-016-01,-0.594383,0.1464,0.2969,0.5096,0.6349,0.8437,0.9837,1.0511,1.0812,1.094
Cervix,WSF-01-016-01,3.510856,0.4024,0.9126,0.9454,1.0049,1.164,1.0496,1.2132,0.9794,1.1856
Vulva,WSF-01-016-01,1.475277,0.6167,0.8313,0.9471,0.9377,0.9578,1.1442,1.1368,1.0963,1.1289
Cervix,WSF-01-016-01,3.526813,0.8725,0.8826,0.952,0.9965,0.9691,0.9907,0.9652,0.9838,0.9608
Cervix,WSF-01-016-01,3.192539,0.8183,0.8664,0.8653,0.9616,0.949,0.9525,0.9924,0.9522,1.0222
Cervix,WSF-01-016-01,3.048311,0.846,0.933,1.003,1.0134,1.0198,0.9771,1.1257,1.1251,1.0761
Cervix,WSF-01-016-01,-0.269187,0.2517,0.448,0.5557,0.732,0.934,0.9476,1.1102,1.0534,1.0492
Cervix,WSF-01-016-01,2.656439,0.8054,0.8637,0.9225,0.9762,1.0165,0.9844,1.0061,1.0276,0.979
Cervix,WSF-01-016-01,1.015015,0.54,0.7753,0.9577,1.0933,1.0452,0.9446,1.0099,0.9213,0.9795
Cervix,WSF-01-016-01,0.358543,0.4185,0.4993,0.6985,0.9689,0.9613,1.0821,1.0409,1.0583,1.1294
Esophagus,WSF-01-016-01,1.338437,0.4987,0.7337,1.0505,1.0247,1.1043,1.0301,1.1421,1.0794,1.1314
Esophagus,WSF-01-016-01,0.439233,0.4822,0.4683,0.6689,0.8174,0.9294,1.0269,1.0211,0.9804,1.1825
Esophagus,WSF-01-016-01,0.035377,0.3028,0.479,0.6775,0.7679,0.9345,1.167,0.9599,1.0574,1.13
Esophagus,WSF-01-016-01,2.986914,0.7624,0.844,0.7884,0.8248,0.8214,0.9041,0.9667,0.9262,1.0611
Esophagus,WSF-01-016-01,3.709504,0.8812,0.884,0.9439,0.9592,0.9287,0.9686,0.9773,1.0253,1.0082
Esophagus,WSF-01-016-01,2.443009,0.801,0.8882,0.9801,0.9587,0.9913,0.9544,1.0389,1.0159,1.038
Esophagus,WSF-01-016-01,0.784739,0.4574,0.6787,0.8021,0.9452,0.9869,1.0263,0.9745,0.9565,1.0057
Esophagus,WSF-01-016-01,1.738594,0.7017,0.7908,0.9219,0.998,1.0451,0.9815,0.9704,1.1065,1.1662
Esophagus,WSF-01-016-01,2.207532,0.7429,0.8369,0.9703,1.0266,0.9722,0.957,0.9632,0.9866,1.0459
Esophagus,WSF-01-016-01,1.229526,0.5918,0.7987,0.9472,0.9683,0.9802,1.0668,1.0466,1.001,1.0305
Esophagus,WSF-01-016-01,0.627123,0.3996,0.682,0.7675,0.9431,0.9524,1.0232,0.9612,0.9915,1.0601
